experiment	task	auc	gauc	uauc	pos	log_path
tf_train_base_new_try_roll_test_predict_time	buy	0.835069	0.6989	0.694	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	cat	0.833968	0.7024	0.6973	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	click	0.802264	0.6979	0.6957	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
tf_train_base_new_try_roll_test_predict_time	ext	0.864008	0.8114	0.8108	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/tf_train_base_new_try_roll_test_predict_time/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608130236
BR_train_buy_click_conditional_loss_cat	buy	0.835016	0.6984	0.6933	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_click_conditional_loss_cat/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	cat	0.833975	0.7021	0.6969	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_click_conditional_loss_cat/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	click	0.802439	0.6989	0.6963	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_click_conditional_loss_cat/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_click_conditional_loss_cat	ext	0.864391	0.8124	0.8113	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_click_conditional_loss_cat/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608181955
BR_train_buy_gradient_conflict_diagnosis	buy	0.834769	0.6991	0.6941	710810	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_gradient_conflict_diagnosis/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	cat	0.833705	0.7025	0.6975	735120	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_gradient_conflict_diagnosis/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	click	0.801901	0.6978	0.6954	913818	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_gradient_conflict_diagnosis/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
BR_train_buy_gradient_conflict_diagnosis	ext	0.863632	0.8088	0.8081	24499	/home/luban/rank-ssl/chenpinyuan/tf_rank_BR/BR_train_buy_gradient_conflict_diagnosis/log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608190013
